/* DATA DESCRIPTION:
Citation:	Thomas, Nicola C; Bradbury, Harold J; Hodell, David A (2022): Determination of stable isotopes of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.945863, 
	In: Thomas, NC et al. (2022): Reconstructed paleo-oxygen concentration, stable isotope measurements and Gaussian interpolated Δδ13C obtained from the IODP Site 339-U1385 for the past 1.5 Ma, including trace element analyses and Uvigerina spp. abundance over MIS 27-21. PANGAEA, https://doi.org/10.1594/PANGAEA.945872
Keyword(s):	Biological pump; Ice core; Inorganic carbon storage; MPT; Oxygen concentration
Coverage:	LATITUDE: 37.571416 * LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2587.0 m * MAXIMUM ELEVATION: -2587.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: IODP 339-U1385 Depth (crmcd) Gint Age (ka BP)
	AGE [ka BP] (Age) * GEOCODE * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Age model, LR04 Lisiecki & Raymo (2005) (URI: https://doi.org/10.1029/2004PA001071)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Δδ13C, gradient [‰ PDB] (Δδ13C grad) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: Between Cibicidoides wuellerstorfi and Globobulimina affinis [vs VPDB]
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317)
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317) * COMMENT: Truncated
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	27590 data points
*/
Depth corr cr [crmcd] (IODP 339-U1385 Depth (crmcd) ...)	Age [ka BP] (Age model, LR04 Lisiecki & Ra...)	C. wuellerstorfi δ18O [‰ PDB] (vs VPDB)	C. wuellerstorfi δ13C [‰ PDB] (vs VPDB)	G. affinis δ18O [‰ PDB] (vs VPDB)	G. affinis δ13C [‰ PDB] (vs VPDB)	Δδ13C grad [‰ PDB] (Between Cibicidoides wuellers...)	O2 [µmol/kg] (Calculated according to Hooga...)	O2 [µmol/kg] (Truncated, Calculated accordi...)
101.19	880.82	4.07	-0.06	5.100	-2.32	2.26	266.41	235.00
101.22	881.13	4.29	-0.01	5.300	-2.10	2.09	240.55	235.00
101.23	881.23	4.13	-0.11	5.070	-1.98	1.87	205.14	205.14
101.26	881.54	4.17	0.00	4.990	-2.27	2.27	268.24	235.00
101.27	881.64	4.22	-0.23	5.040	-2.28	2.05	233.86	233.86
101.31	882.06	4.25	-0.11	5.080	-2.37	2.26	266.45	235.00
101.32	882.16	4.04	-0.15	4.780	-2.57	2.42	291.12	235.00
101.35	882.47	3.99	-0.23	5.100	-2.38	2.15	249.67	235.00
101.36	882.58	4.00	-0.24	4.220	-2.99	2.75	343.69	235.00
101.40	882.99	4.09	-0.06	5.130	-2.27	2.21	259.07	235.00
101.43	883.30	3.92	0.18	4.740	-2.61	2.78	347.97	235.00
101.46	883.61	4.01	-0.20	4.700	-2.31	2.11	243.22	235.00
101.47	883.72	4.24	-0.03	5.270	-2.33	2.31	273.59	235.00
101.50	884.03	3.79	-0.14	4.990	-2.39	2.26	265.85	235.00
101.51	884.13	4.02	0.07	5.080	-2.64	2.70	335.80	235.00
101.54	884.44	3.92	-0.12	4.810	-2.28	2.16	250.99	235.00
101.55	884.55	4.12	-0.19	5.170	-2.27	2.08	238.39	235.00
101.59	884.96	4.03	0.16	5.290	-2.27	2.43	293.20	235.00
101.60	885.06	4.02	0.03	5.070	-2.15	2.18	253.31	235.00
101.63	885.37	4.12	0.10	5.020	-2.15	2.25	264.84	235.00
101.66	885.68	4.06	0.19	4.850	-2.15	2.34	278.85	235.00
101.67	885.79	4.09	0.31	5.020	-2.14	2.45	296.64	235.00
101.70	886.10	4.02	0.16	4.860	-2.17	2.33	277.21	235.00
101.71	886.20	3.88	-0.01	5.010	-2.28	2.27	268.21	235.00
101.73	886.41	3.84	0.00	4.900	-2.24	2.24	262.90	235.00
101.74	886.51	3.92	-0.25	4.750	-2.38	2.13	246.00	235.00
101.75	886.62	3.82	0.07	4.910	-2.28	2.36	281.43	235.00
101.79	887.03	3.99	0.10	4.890	-2.42	2.52	307.00	235.00
101.80	887.14	3.93	-0.56	4.810	-2.34	1.78	191.87	191.87
101.83	887.45	3.78	-0.48	4.700	-2.34	1.87	205.01	205.01
101.86	887.79		-0.52	4.800	-2.33	1.81	196.09	196.09
101.87	887.91	3.79	-0.61	4.790	-2.30	1.69	177.74	177.74
101.91	888.27	3.60	-0.46	4.830	-2.42	1.96	220.12	220.12
101.92	888.39	4.15	-0.60	4.890	-2.42	1.82	197.46	197.46
101.96	888.75	4.21	-0.82	4.780	-2.38	1.56	157.81	157.81
101.97	888.87	3.75	-0.64	4.920	-2.34	1.70	178.63	178.63
102.03	889.47	3.93	-0.61	4.700	-2.31	1.70	178.96	178.96
102.04	889.59	3.94	-0.68	4.840	-2.29	1.61	165.47	165.47
102.08	890.07	4.11	-0.45	4.820	-2.24	1.79	192.34	192.34
102.12	890.42	3.87	-0.55	4.110	-2.34	1.79	192.84	192.84
102.13	890.54	4.11	-0.60	4.580	-2.52	1.92	213.28	213.28
102.16	890.90		-0.52	4.700	-2.34	1.82	197.50	197.50
102.18	891.02	3.93	-0.56	4.850	-2.33	1.77	189.73	189.73
102.22	891.50	3.74	-0.10	4.920	-2.35	2.25	264.84	235.00
102.27	891.98	3.97	-0.64	4.740	-2.35	1.71	180.31	180.31
102.28	892.10	3.78	-0.49	4.420	-2.36	1.87	205.90	205.90
102.28	892.11	3.96	-0.44	4.840	-2.39	1.95	217.97	217.97
102.31	892.46	3.80	-0.54	4.670	-2.44	1.90	209.38	209.38
102.32	892.52	4.02	-0.43	4.820	-2.46	2.02	229.56	229.56
102.35	892.82	3.60	-0.54	4.200	-2.38	1.84	200.61	200.61
102.36	892.94	3.82	-0.51	4.850	-2.37	1.86	203.92	203.92
102.36	892.94	3.90	-0.33	4.840	-2.70	2.37	283.36	235.00
102.40	893.30	4.14	-0.38	4.860	-2.77	2.39	287.32	235.00
102.40	893.35	3.86	-0.27	4.750	-2.73	2.45	296.76	235.00
102.41	893.42	3.85	-0.35	4.810	-2.78	2.43	293.44	235.00
102.44	893.77	3.90	-0.27	4.960	-2.48	2.20	257.59	235.00
102.44	893.78	3.99	-0.27	4.790	-2.57	2.30	272.38	235.00
102.45	893.90	4.19	-0.31	5.000	-2.46	2.16	250.11	235.00
102.48	894.18	3.99	-0.20	5.060	-2.40	2.21	258.20	235.00
102.49	894.26	4.11	-0.11	4.910	-2.38	2.27	267.49	235.00
102.49	894.28	4.02	-0.30	5.110	-2.09	1.78	191.78	191.78
102.50	894.38	4.06	-0.06	5.080	-2.24	2.18	253.56	235.00
102.52	894.59	4.14	0.06	5.060	-2.18	2.24	263.44	235.00
102.53	894.74	3.96	0.07	4.760	-2.18	2.25	264.42	235.00
102.56	895.01	3.95	0.15	4.810	-2.24	2.39	286.51	235.00
102.58	895.22	3.90	-0.03	4.970	-2.33	2.30	273.19	235.00
102.61	895.53	4.01	-0.09	5.100	-2.50	2.41	289.49	235.00
102.65	895.94	3.88	-0.18	4.980	-2.30	2.12	244.07	235.00
102.69	896.36	3.96	-0.10	4.980	-2.19	2.09	239.56	235.00
102.72	896.67	3.99	0.15	5.040	-2.19	2.34	279.46	235.00
102.73	896.77	3.80	0.35	4.830	-2.09	2.44	294.23	235.00
102.78	897.29	3.93	0.35	4.440	-2.29	2.64	325.52	235.00
102.81	897.60	3.92	-0.04	4.890	-2.29	2.26	265.93	235.00
102.84	897.91	3.97	0.26	4.910	-2.16	2.42	291.95	235.00
102.85	898.01	4.03	0.31	5.030	-2.18	2.50	303.16	235.00
102.89	898.43	4.03	0.34	4.980	-2.20	2.54	309.85	235.00
102.92	898.74	3.77	0.24	4.990	-1.99	2.23	261.03	235.00
102.93	898.84	3.77	0.49	4.970	-2.01	2.50	303.24	235.00
102.96	899.15	3.89	0.34	4.820	-2.14	2.48	301.20	235.00
102.97	899.26	3.96	0.51	4.810	-2.16	2.67	330.76	235.00
102.98	899.36	3.81	0.48	5.100	-2.22	2.70	335.00	235.00
103.01	899.67	3.78	0.32	4.770	-2.20	2.51	305.63	235.00
103.04	899.98	3.72	0.35	4.540	-2.11	2.46	298.25	235.00
103.05	900.09	3.94	0.34	4.840	-2.04	2.38	285.17	235.00
103.07	900.29	4.02	0.45	4.740	-2.14	2.59	317.77	235.00
103.09	900.50	3.84	0.49	4.770	-2.20	2.69	333.45	235.00
103.11	900.71	3.88	0.44	4.890	-2.22	2.65	327.83	235.00
103.12	900.81	3.73	0.50	4.730	-2.19	2.69	332.87	235.00
103.13	900.91	3.80	0.46	4.850	-2.24	2.70	335.16	235.00
103.15	901.12	3.77	0.58	4.840	-2.30	2.88	363.67	235.00
103.16	901.23	3.66	0.45	4.750	-2.29	2.74	341.06	235.00
103.17	901.33	3.72	0.35	4.800	-2.32	2.68	331.29	235.00
103.18	901.43	3.75	0.38	5.060	-2.29	2.67	330.78	235.00
103.20	901.64	3.78	0.38	4.760	-2.21	2.59	318.15	235.00
103.21	901.74	3.76	0.51	4.800	-2.22	2.73	339.51	235.00
103.23	901.93	3.82	0.55	4.860	-2.05	2.60	319.70	235.00
103.24	902.03	3.66	0.43	4.070	-2.40	2.83	354.94	235.00
103.25	902.13	3.64	0.57	4.600	-1.97	2.54	309.84	235.00
103.27	902.33	3.73	0.12	4.610	-2.29	2.41	290.13	235.00
103.29	902.52	3.65	0.58	4.720	-2.57	3.15	404.72	235.00
103.30	902.62	3.65	0.58	4.460	-2.22	2.80	350.69	235.00
103.31	902.72	3.54	0.48	4.760	-2.16	2.64	325.40	235.00
103.32	902.82	3.65	0.41	4.640	-2.32	2.73	340.44	235.00
103.33	902.92	3.50	0.53	4.730	-2.33	2.87	361.01	235.00
103.35	903.11	3.63	0.53	4.800	-2.19	2.72	338.68	235.00
103.36	903.21	3.68	0.37	4.440	-2.15	2.52	307.12	235.00
103.37	903.31	3.58	0.43	4.650	-2.25	2.68	331.99	235.00
103.38	903.41	3.58	0.52	4.470	-2.33	2.85	358.28	235.00
103.40	903.60	3.63	0.56	4.500	-2.34	2.90	366.19	235.00
103.41	903.70	3.58	0.53	4.530	-2.37	2.90	366.70	235.00
103.43	903.90	3.58	0.54	4.640	-2.47	3.00	382.25	235.00
103.44	903.99	3.53	0.45	4.590	-2.24	2.69	334.02	235.00
103.47	904.29	3.51	0.54	4.730	-2.33	2.87	361.20	235.00
103.48	904.39	3.63	0.53	4.660	-2.36	2.89	364.19	235.00
103.51	904.68	3.58	0.61	4.650	-2.27	2.88	363.48	235.00
103.52	904.78	3.49	0.58	4.640	-2.38	2.96	375.08	235.00
103.55	905.07	3.44	0.58	4.580	-2.38	2.96	376.16	235.00
103.56	905.17	3.49	0.53	4.530	-2.33	2.86	359.68	235.00
103.59	905.47	3.55	0.62	4.560	-2.36	2.98	378.74	235.00
103.60	905.56	3.51	0.60	4.260	-2.50	3.10	397.89	235.00
103.61	905.66	3.54	0.56	4.700	-2.30	2.86	360.24	235.00
103.63	905.86	3.60	0.51	4.690	-2.31	2.82	353.91	235.00
103.64	905.96	3.49	0.45	4.500	-2.55	3.00	382.35	235.00
103.67	906.25	3.46	0.53	4.620	-2.30	2.83	356.05	235.00
103.68	906.35	3.37	0.49	4.580	-2.27	2.76	345.17	235.00
103.71	906.64	3.64	0.50	4.510	-2.45	2.95	374.32	235.00
103.72	906.74	3.37	0.42	4.580	-2.42	2.84	357.10	235.00
103.75	907.04	3.45	0.50	4.610	-2.46	2.96	375.85	235.00
103.76	907.13	3.54	0.48	4.490	-2.49	2.97	377.69	235.00
103.79	907.43	3.28	0.34	4.480	-2.42	2.76	344.12	235.00
103.80	907.53	3.52	0.34	4.470	-2.38	2.73	339.20	235.00
103.83	907.82	3.50	0.46	4.610	-2.30	2.76	344.76	235.00
103.84	907.92	3.49	0.47	4.150	-2.46	2.93	371.63	235.00
103.87	908.21	3.58	0.46	4.580	-2.29	2.75	342.50	235.00
103.88	908.31	3.46	0.44	4.220	-2.35	2.80	350.10	235.00
103.91	908.61	3.67	0.34	4.590	-2.29	2.63	324.47	235.00
103.92	908.70	3.45	0.49	4.280	-2.40	2.89	365.18	235.00
103.95	909.00	3.68	0.37	4.550	-2.46	2.82	354.54	235.00
103.96	909.10	3.65	0.38	4.370	-2.55	2.93	370.78	235.00
103.98	909.29	3.47	0.34	4.420	-2.50	2.84	356.25	235.00
103.99	909.39	3.41	0.24	4.530	-2.67	2.91	367.44	235.00
104.00	909.49	3.56	0.24	4.450	-2.45	2.68	332.73	235.00
104.03	909.78	3.26	0.08	4.450	-2.29	2.37	284.17	235.00
104.04	909.88	3.49	0.20	4.400	-2.30	2.50	304.40	235.00
104.07	910.18	3.44	-0.01	4.610	-2.65	2.65	327.13	235.00
104.08	910.27	3.44	0.04	4.260	-2.58	2.62	323.31	235.00
104.12	910.67	3.57	-0.17	4.480	-2.41	2.25	264.18	235.00
104.16	911.06	3.48	-0.03	4.440	-2.36	2.33	276.89	235.00
104.20	911.45	3.68	0.07	4.640	-2.32	2.38	285.29	235.00
104.24	911.84	3.74	0.32	4.700	-2.37	2.70	334.63	235.00
104.28	912.24	3.67	0.31	4.840	-2.44	2.75	342.63	235.00
104.32	912.63	3.74	0.22	4.650	-2.21	2.43	293.09	235.00
104.34	912.86	3.61	0.37	4.580	-2.20	2.57	315.29	235.00
104.37	913.09	3.31	0.27	4.710	-2.37	2.64	326.19	235.00
104.39	913.32	3.48	0.29	4.580	-2.29	2.57	315.40	235.00
104.41	913.55	3.58	0.41	4.700	-2.42	2.83	354.89	235.00
104.44	913.78	3.59	0.33	4.570	-2.40	2.73	339.31	235.00
104.45	913.91	3.63	0.40	4.660	-2.30	2.70	335.42	235.00
104.46	913.99	3.63	0.45	4.530	-2.32	2.77	346.82	235.00
104.46	914.01	3.42	0.37	4.480	-2.29	2.66	329.32	235.00
104.48	914.23	3.50	0.29	4.660	-2.38	2.67	329.97	235.00
104.49	914.31	3.55	0.32	4.410	-2.35	2.67	330.56	235.00
104.52	914.62	3.56	0.43	4.510	-2.37	2.80	351.47	235.00
104.55	914.85	3.46	0.36	4.610	-2.31	2.67	331.01	235.00
104.56	914.93	3.28	0.29	4.450	-2.40	2.68	332.58	235.00
104.58	915.17	3.44	0.42	4.480	-2.37	2.79	348.68	235.00
104.60	915.40	3.44	0.34	4.280	-2.41	2.75	342.65	235.00
104.61	915.48	3.52	0.36	4.290	-2.13	2.49	302.34	235.00
104.63	915.71	3.34	0.34	4.360	-2.43	2.78	347.11	235.00
104.64	915.79	3.42	0.35	4.660	-2.42	2.77	346.74	235.00
104.67	916.03	3.29	0.34	4.360	-2.47	2.82	353.16	235.00
104.67	916.10	3.49	0.29	4.510	-2.52	2.82	353.30	235.00
104.70	916.34	3.34	0.18	4.410	-2.34	2.53	308.20	235.00
104.71	916.42	3.45	0.48	4.370	-2.38	2.86	359.38	235.00
104.73	916.65	3.30	0.13	4.240	-2.25	2.39	285.96	235.00
104.73	916.67	3.45	0.28	4.370	-2.41	2.69	333.13	235.00
104.74	916.72	3.26	0.15	4.370	-2.26	2.41	290.15	235.00
104.74	916.74	3.38	0.34	4.570	-2.27	2.61	320.78	235.00
104.74	916.79	3.26	0.17	4.260	-2.14	2.31	274.71	235.00
104.75	916.81	3.43	0.04	4.420	-2.21	2.24	263.91	235.00
104.76	916.95	3.31	0.14	4.390	-2.28	2.42	291.02	235.00
104.77	917.04	3.58	0.08	4.410	-2.31	2.39	287.46	235.00
104.80	917.34	3.32	-0.06	4.440	-2.36	2.30	272.05	235.00
104.81	917.44	3.48	-0.03	4.510	-2.28	2.26	266.04	235.00
104.84	917.73	3.40	0.18	4.450	-2.35	2.53	308.67	235.00
104.85	917.83	3.54	-0.03	4.460	-2.56	2.53	308.93	235.00
104.86	917.93	3.34	0.07	4.420	-2.56	2.63	324.69	235.00
104.88	918.12	3.30	-0.31	4.340	-2.69	2.38	285.51	235.00
104.89	918.22	3.62	-0.50	4.450	-2.65	2.15	248.66	235.00
104.92	918.52	3.22	-0.07	4.310	-2.64	2.57	314.97	235.00
104.93	918.61	3.41	-0.25	4.410	-2.69	2.44	294.95	235.00
104.96	918.91	3.25	-0.01	4.190	-2.79	2.78	347.43	235.00
104.97	919.01	3.45	-0.29	4.530	-2.52	2.23	262.34	235.00
105.00	919.30	3.27	-0.35	3.670	-2.70	2.35	280.67	235.00
105.01	919.40	3.54	-0.51	4.390	-2.60	2.09	240.21	235.00
105.04	919.69	3.23	-0.04	4.420	-2.50	2.46	298.08	235.00
105.05	919.79	3.51	-0.82	4.470	-2.71	1.89	207.90	207.90
105.08	920.09	3.59	-0.74	4.090	-2.18	1.44	138.33	138.33
105.09	920.18	3.84	-0.89	4.530	-2.26	1.37	127.74	127.74
105.12	920.48		-0.56	3.650	-2.59	2.03	230.94	230.94
105.12	920.48	3.35	-0.37	3.650	-2.59	2.22	260.63	235.00
105.13	920.58	3.73	-0.74	4.610	-2.28	1.54	154.14	154.14
105.16	920.87	3.55	-0.78	4.160	-2.23	1.45	139.26	139.26
105.17	920.97	3.88	-0.69	4.470	-2.43	1.75	186.37	186.37
105.18	921.07	3.63	-0.68	4.070	-2.22	1.54	154.45	154.45
105.20	921.26	3.75	-0.49	4.340	-2.40	1.91	212.17	212.17
105.21	921.36	4.10	-0.52	4.550	-2.19	1.68	175.26	175.26
105.24	921.66	3.65	-0.78	4.850	-2.21	1.42	135.42	135.42
105.25	921.75	4.16	-0.42	4.930	-2.22	1.80	194.69	194.69
105.28	922.03	3.91	-0.29	4.890	-2.43	2.14	248.21	235.00
105.29	922.11	4.08	-0.45	4.770	-2.42	1.96	219.95	219.95
105.32	922.34	3.87	-0.16	4.430	-2.62	2.46	297.48	235.00
105.33	922.42	3.77	-0.10	4.750	-2.36	2.25	265.47	235.00
105.38	922.81	3.69	-0.11	4.860	-2.36	2.25	265.33	235.00
105.39	922.89	4.07	-0.22	5.080	-2.43	2.20	257.69	235.00
105.42	923.13	3.58	-0.33	4.500	-2.57	2.23	262.03	235.00
105.43	923.20	4.06	-0.20	4.960	-2.37	2.17	252.66	235.00
105.47	923.52	4.24	-0.19	4.820	-2.70	2.51	305.00	235.00
105.50	923.75	3.83	0.02	4.810	-2.22	2.23	262.08	235.00
105.51	923.83	4.20	-0.13	5.140	-2.25	2.13	245.63	235.00
105.54	924.07	4.01	-0.06	4.890	-2.28	2.22	260.28	235.00
105.58	924.38	3.91	-0.09	4.420	-2.18	2.09	239.58	235.00
105.59	924.46	4.14	0.02	4.800	-2.04	2.06	235.19	235.00
105.62	924.69	3.99	0.03	4.660	-2.16	2.19	255.35	235.00
105.63	924.77	4.08	0.14	4.840	-2.03	2.17	251.81	235.00
105.66	925.01	3.92	-0.02	4.340	-2.27	2.25	265.29	235.00
105.67	925.09	4.07	0.07	5.070	-2.26	2.33	277.70	235.00
105.70	925.32	4.07	0.12	4.930	-2.30	2.42	291.94	235.00
105.71	925.40	3.71	0.35	4.930	-2.08	2.43	293.22	235.00
105.74	925.64	4.03	0.10	4.740	-2.01	2.12	243.95	235.00
105.75	925.71	3.97	0.04	4.930	-2.13	2.17	252.38	235.00
105.76	925.79	3.86	0.01	4.570	-2.22	2.23	261.03	235.00
105.78	925.95	3.62	-0.07	4.950	-2.15	2.08	238.97	235.00
105.79	926.03	4.06	0.00	5.090	-2.29	2.28	269.84	235.00
105.82	926.26	3.77	-0.19	4.850	-2.37	2.18	253.35	235.00
105.83	926.34	3.82	-0.02	5.010	-2.43	2.42	290.83	235.00
105.86	926.58	3.68	-0.43	4.630	-2.22	1.79	193.27	193.27
105.87	926.66	3.97	-0.05	4.800	-2.40	2.36	281.46	235.00
105.90	926.89	3.79	0.03	4.860	-2.36	2.39	286.23	235.00
105.91	926.97	3.91	-0.08	4.900	-2.42	2.34	278.40	235.00
105.94	927.20	3.55	0.42	4.340	-2.44	2.86	360.16	235.00
105.95	927.28	3.90	0.30	4.980	-2.10	2.40	288.07	235.00
105.98	927.52	3.63	0.14	4.720	-2.30	2.43	293.43	235.00
105.99	927.60	3.80	0.39	4.740	-2.34	2.73	340.00	235.00
106.02	927.83	3.55	0.38	4.250	-2.39	2.77	345.60	235.00
106.03	927.91	3.61	0.50	4.750	-2.31	2.81	351.87	235.00
106.06	928.15	3.52	0.36	4.620	-2.46	2.82	354.67	235.00
106.07	928.22	3.60	0.53	4.660	-2.51	3.04	387.69	235.00
106.10	928.46	3.35	0.17	4.600	-2.58	2.74	341.62	235.00
106.11	928.54	3.62	0.46	4.430	-2.41	2.87	361.78	235.00
106.14	928.77	3.24	0.31	4.500	-2.62	2.93	371.47	235.00
106.15	928.85	3.55	0.47	4.540	-2.77	3.24	419.05	235.00
106.16	928.93	3.41	0.27	4.090	-2.59	2.86	360.48	235.00
106.18	929.09	3.35	-0.04	4.230	-2.70	2.66	329.01	235.00
106.19	929.16	3.52	0.08	4.300	-2.88	2.96	375.80	235.00
106.22	929.40	3.55	0.15	4.110	-2.80	2.95	374.50	235.00
106.23	929.48	3.34	-0.02	4.370	-2.74	2.72	337.95	235.00
106.26	929.71	3.53	-0.20	4.090	-2.74	2.54	310.59	235.00
106.27	929.79	3.45	-0.22	4.170	-2.58	2.35	281.24	235.00
106.30	930.03	3.59	-0.03	4.520	-2.69	2.65	327.43	235.00
106.31	930.11	3.78	0.01	4.590	-2.55	2.55	312.34	235.00
106.34	930.34	3.73	0.19	4.440	-2.27	2.47	298.53	235.00
106.35	930.42	3.52	0.34	4.760	-2.34	2.67	331.08	235.00
106.38	930.65	3.45	0.42	4.300	-2.33	2.75	342.97	235.00
106.39	930.73	3.61	0.46	4.560	-2.39	2.85	359.09	235.00
106.42	930.97	3.46	0.24	4.390	-2.41	2.65	327.47	235.00
106.43	931.05	3.54	0.37	4.470	-2.49	2.85	359.22	235.00
106.46	931.28	3.41	0.13	4.220	-2.57	2.70	335.80	235.00
106.47	931.36	3.32	-0.04	4.490	-2.36	2.32	275.33	235.00
106.50	931.60	3.33	-0.12	4.070	-2.72	2.60	320.04	235.00
106.51	931.67	3.46	-0.08	4.340	-2.80	2.72	337.51	235.00
106.54	931.91	3.42	0.13	4.440	-2.34	2.47	299.16	235.00
106.55	931.99	3.49	-0.21	4.620	-2.32	2.11	242.90	235.00
106.56	932.07	3.57	0.04	4.370	-2.43	2.47	299.22	235.00
106.58	932.22	3.62	0.19	4.590	-2.29	2.48	300.65	235.00
106.59	932.30	3.26	0.52	4.500	-2.12	2.64	325.58	235.00
106.62	932.54	3.52	0.35	4.550	-2.08	2.43	292.50	235.00
106.63	932.61	3.25	-0.02	4.610	-1.94	1.92	213.75	213.75
106.66	932.85	3.36	0.39	4.420	-2.04	2.43	293.21	235.00
106.67	932.93	3.39	0.40	4.570	-2.18	2.59	317.38	235.00
106.70	933.16	3.56	0.39	4.330	-2.11	2.50	303.94	235.00
106.71	933.24	3.42	0.53	4.390	-2.33	2.86	359.50	235.00
106.74	933.48	3.41	0.38	4.190	-2.05	2.43	292.98	235.00
106.75	933.56	3.33	0.47	4.380	-2.14	2.61	321.33	235.00
106.76	933.63	3.34	0.41	4.390	-2.09	2.50	304.22	235.00
106.78	933.79	3.21	0.22	4.170	-2.12	2.35	280.20	235.00
106.79	933.87	3.30	0.29	4.270	-2.38	2.67	330.69	235.00
106.82	934.10	3.19	0.37	4.100	-2.08	2.45	295.49	235.00
106.83	934.18	3.12	0.07	4.010	-2.31	2.38	284.98	235.00
106.89	934.65	3.21	-0.01	3.920	-1.88	1.87	205.63	205.63
106.90	934.73	3.36	-0.17	3.890	-2.27	2.09	240.09	235.00
106.92	934.89	3.21	-0.14	3.860	-2.74	2.59	318.23	235.00
106.97	935.28	3.30	0.29	4.240	-2.32	2.61	321.46	235.00
107.00	935.52	3.25	0.13	4.080	-2.44	2.56	313.84	235.00
107.01	935.59	3.03	-0.26	4.170	-2.48	2.22	259.53	235.00
107.04	935.83	3.28	0.32	4.220	-2.12	2.44	294.64	235.00
107.05	935.91	3.44	0.45	4.340	-1.96	2.41	289.20	235.00
107.06	935.99	3.34	0.35	4.500	-1.98	2.33	276.88	235.00
107.08	936.14	3.37	0.39	4.100	-2.31	2.69	334.13	235.00
107.09	936.22	3.41	0.39	4.300	-2.09	2.48	300.47	235.00
107.12	936.46	3.30	0.45	4.180	-2.09	2.54	309.93	235.00
107.13	936.54	3.27	0.43	4.320	-2.09	2.52	307.20	235.00
107.16	936.77	3.28	0.49	4.060	-2.22	2.72	337.75	235.00
107.17	936.85	3.32	0.45	4.430	-2.19	2.64	326.44	235.00
107.20	937.08	3.32	0.42	4.010	-2.26	2.68	332.54	235.00
107.21	937.16	3.23	0.40	4.170	-2.28	2.69	332.98	235.00
107.25	937.48	3.27	0.44	3.980	-2.25	2.69	333.77	235.00
107.28	937.71	3.16	0.45	3.910	-2.51	2.95	374.84	235.00
107.29	937.79	3.21	0.61	3.950	-2.52	3.12	401.56	235.00
107.32	938.03	3.19	0.48	3.590	-2.58	3.06	391.24	235.00
107.33	938.10	3.17	0.47	4.070	-2.47	2.94	372.00	235.00
107.36	938.34	3.07	0.47	3.640	-2.43	2.90	366.64	235.00
107.37	938.42	3.06	0.55	3.910	-2.35	2.90	366.41	235.00
107.40	938.65	3.27	0.53	4.060	-2.40	2.93	370.48	235.00
107.41	938.73	3.31	0.51	4.070	-2.40	2.91	367.81	235.00
107.44	938.97	2.98	0.46	3.780	-2.47	2.92	369.99	235.00
107.45	939.05	2.99	0.49	4.170	-2.56	3.05	389.49	235.00
107.46	939.12	3.01	0.62	4.100	-2.38	3.00	381.88	235.00
107.49	939.36	3.37	0.96	3.990	-2.68	3.63	481.05	235.00
107.50	939.44	2.91	0.57	3.480	-2.87	3.45	451.84	235.00
