/* DATA DESCRIPTION:
Citation:	Tiedemann, Ralf (1991): Stable isotopes measured on foraminifera from Site 108-659. PANGAEA, https://doi.org/10.1594/PANGAEA.194774
Related to:	Tiedemann, Ralf (1991): Acht Millionen Jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661. Berichte-Reports, Geologisch-Paläontologisches Institut der Universität Kiel, 46, 190 pp, https://doi.org/10.2312/reports-gpi.1991.46
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.11 m * MAXIMUM DEPTH, sediment/rock: 139.21 m
Event(s):	108-659 * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00 * ELEVATION: -3082.3 m * Penetration: 671.9 m * Recovery: 411.2 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: https://doi.org/10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 59 cores; 551.9 m cored; 0 m drilled; 74.5% recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Intercore correlation
	Sample code/label (Sample label) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ18O [‰ PDB] (G. inflata δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ13C [‰ PDB] (G. inflata δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ18O [‰ PDB] (G. sacculifer δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ13C [‰ PDB] (G. sacculifer δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3625 data points
*/
Depth [m]	Age [ka BP]	Depth comp [mcd]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. inflata δ18O [‰ PDB]	G. inflata δ13C [‰ PDB]	G. sacculifer δ18O [‰ PDB]	G. sacculifer δ13C [‰ PDB]
110.01	3702.8	114.18	108-659B-13H-2,140-142	2.37	0.69			-0.81	1.87
110.13	3658.4	112.42	108-659C-6H-1,61-65	2.53	0.69				
110.26	3661.5	112.54	108-659C-6H-1,74-78	2.31	0.57				
110.42	3665.2	112.69	108-659C-6H-1,92-94	2.39	0.68			-0.58	2.19
110.51	3667.3	112.77	108-659C-6H-1,100-102	2.37	0.54			-1.42	1.86
110.52	3715.7	114.69	108-659B-13H-3,41-43	2.57	0.60			-0.76	1.61
110.71	3720.5	114.88	108-659B-13H-3,60-62	2.38	0.60			-0.62	1.70
110.73	3672.1	112.96	108-659C-6H-1,121-125	2.51	0.82				
110.91	3676.6	113.14	108-659C-6H-1,140-142	2.73	0.79			-0.67	1.86
111.07	3680.6	113.30	108-659C-6H-2,5-9	2.65	0.72				
111.22	3684.4	113.45	108-659C-6H-2,20-24	2.68	0.67				
111.41	3689.2	113.64	108-659C-6H-2,40-42	2.85	0.51			-0.55	1.85
111.73	3697.3	113.96	108-659C-6H-2,71-75	2.51	0.75				
111.93	3702.1	114.15	108-659C-6H-2,92-94	2.53	0.46			-0.59	1.87
112.01	3704.1	114.23	108-659C-6H-2,100-102					-0.48	1.87
112.14	3708.1	114.39	108-659C-6H-2,113-115	1.79	0.07				
112.26	3711.2	114.51	108-659C-6H-2,125-127	1.91	-0.07				
112.41	3714.2	114.63	108-659C-6H-2,140-142	2.73	0.79			-0.64	1.62
112.56	3717.7	114.77	108-659C-6H-3,4-7	2.64	0.67				
112.71	3768.0	116.76	108-659A-13H-1,40-42					-0.78	2.08
112.72	3721.8	114.93	108-659C-6H-3,20-24	2.47	0.58				
112.91	3726.6	115.12	108-659C-6H-3,40-42	2.57	0.90			-0.92	1.82
112.98	3774.8	117.03	108-659A-13H-1,66-69	2.15	0.70				
113.05	3730.1	115.26	108-659C-6H-3,53-57	2.59	0.87				
113.09	3777.5	117.14	108-659A-13H-1,77-81	2.24	0.71				
113.21	3780.6	117.26	108-659A-13H-1,90-92	2.55	0.50			-0.85	2.05
113.26	3781.8	117.31	108-659A-13H-1,95-96	2.25	0.37			-1.07	1.87
113.43	3739.7	115.64	108-659C-6H-3,92-94	2.49	0.62			-0.89	1.82
113.49	3787.6	117.54	108-659A-13H-1,117-121	2.24	0.59				
113.51	3741.7	115.72	108-659C-6H-3,100-102	2.44	0.57			-1.07	1.79
113.65	3791.7	117.70	108-659A-13H-1,133-137	2.25	0.67				
113.66	3745.5	115.87	108-659C-6H-3,114-118	2.56	0.69				
113.71	3793.2	117.76	108-659A-13H-1,140-142	2.52	0.79			-0.70	1.88
113.91	3751.8	116.12	108-659C-6H-3,140-142	2.44	0.78			-0.51	1.73
113.93	3798.7	117.98	108-659A-13H-2,11-14	2.27	0.57				
114.06	3755.6	116.27	108-659C-6H-4,4-7	2.42	0.61				
114.06	3802.2	118.11	108-659A-13H-2,24-28	2.24	0.46				
114.21	3805.8	118.26	108-659A-13H-2,40-42	2.66	0.64			-0.71	1.62
114.24	3760.1	116.45	108-659C-6H-4,22-26	2.12	0.49				
114.32	3808.6	118.37	108-659A-13H-2,50-53	2.53	0.57				
114.41	3764.7	116.63	108-659C-6H-4,40-42	2.49	0.64			-1.31	1.40
114.46	3812.1	118.51	108-659A-13H-2,64-67	2.23	0.40				
114.56	3770.5	116.86	108-659C-6H-4,54-57	1.73	0.35				
114.56	3814.6	118.61	108-659A-13H-2,74-78	2.39	0.44				
114.71	3818.4	118.76	108-659A-13H-2,90-92	2.43	0.63			-0.54	1.67
114.73	3777.0	117.12	108-659C-6H-4,71-75	1.96	0.55				
114.86	3822.2	118.91	108-659A-13H-2,104-107	2.22	0.63				
114.93	3784.9	117.43	108-659C-6H-4,92-94	2.40	0.72			-1.26	1.86
115.09	3828.0	119.14	108-659A-13H-2,127-130	2.25	0.68				
115.21	3831.0	119.26	108-659A-13H-2,140-142	2.31	0.55			-0.91	1.62
115.36	3834.8	119.41	108-659A-13H-3,4-8	2.23	0.59				
115.41	3803.5	118.17	108-659C-6H-4,140-142	2.65	0.66			-0.72	1.93
115.70	3843.4	119.75	108-659A-13H-3,40	2.23	0.47			-0.84	1.65
115.91	3818.9	118.78	108-659C-6H-5,40-42	2.36	0.59			-0.66	1.74
116.21	3856.3	120.26	108-659A-13H-3,90-92	2.27	0.41			-0.84	1.64
116.25	3857.3	120.30	108-659A-13H-3,95-96					-0.71	1.62
116.38	3860.6	120.43	108-659A-13H-3,106-109	2.18	0.37				
116.43	3839.4	119.59	108-659C-6H-5,92-94	1.91	0.35			-1.10	1.82
116.51	3841.9	119.69	108-659C-6H-5,100-102	2.38	0.54			-0.48	1.80
116.59	3865.9	120.64	108-659A-13H-3,127-131	2.21	0.32				
116.71	3868.9	120.76	108-659A-13H-3,140-142	2.55	0.58			-0.62	1.61
116.91	3855.0	120.21	108-659C-6H-5,140-142	2.35	0.56			-0.83	1.59
117.21	3881.5	121.26	108-659A-13H-4,40-44	2.45	0.57			-1.16	1.46
117.21	3944.9	123.77	108-659B-14H-1,60-62	2.49	0.65			-0.80	1.00
117.41	3874.4	120.98	108-659C-6H-6,40-42	2.62	0.36			-0.65	1.41
117.56	3890.3	121.61	108-659A-13H-4,74-77	2.20	0.02				
117.71	3894.1	121.76	108-659A-13H-4,90-92	2.23	0.42			-0.78	1.26
117.86	3877.7	121.11	108-659A-13H-4,24-28	2.37	0.41				
117.86	3897.9	121.91	108-659A-13H-4,104-107	2.15	0.46				
117.93	3895.6	121.82	108-659C-6H-6,92-94	2.21	0.41			-0.74	1.64
118.01	3899.2	121.96	108-659C-6H-6,100-102					-0.80	1.55
118.09	3903.7	122.14	108-659A-13H-4,127-130	1.97	0.30				
118.15	3905.2	122.20	108-659C-6H-6,114-116	2.49	0.39			-0.68	1.86
118.21	3906.8	122.26	108-659A-13H-4,140-142	2.44	0.47			-0.43	1.19
118.38	3911.0	122.43	108-659A-13H-5,6-9	2.42	0.36				
118.56	3915.6	122.61	108-659A-13H-5,24-28	2.36	0.73				
118.70	3919.1	122.75	108-659A-13H-5,40	2.31	0.35			-0.86	1.61
118.79	3921.4	122.84	108-659A-13H-5,47-51	2.31	0.48				
118.81	3965.8	124.60	108-659B-14H-2,70-72					-0.95	1.85
119.06	3928.2	123.11	108-659A-13H-5,74-78	2.53	0.21				
119.21	3932.0	123.26	108-659A-13H-5,90-92	2.47	0.28			-0.52	1.22
119.32	3981.7	125.23	108-659B-14H-3,30-34	2.75	0.13				
119.36	3935.8	123.41	108-659A-13H-5,104-107	2.33	0.69				
119.58	3941.3	123.63	108-659A-13H-5,126-129	2.19	0.57				
119.71	3944.6	123.76	108-659A-13H-5,140-142	2.18	0.49			-0.89	1.41
119.99	3951.7	124.04	108-659A-13H-6,17-20	2.15	0.45				
120.05	3953.2	124.10	108-659A-13H-6,37-39	2.32	0.40			-0.90	1.48
120.16	3956.0	124.21	108-659A-13H-6,63-66	2.50	0.29				
120.21	3989.0	125.52	108-659B-14H-3,60-62					-0.77	1.56
120.28	3959.0	124.33	108-659A-13H-6,75-78	2.33	0.10				
120.42	3962.5	124.47	108-659A-13H-6,90-92	2.01	0.30			-0.65	1.58
120.92	3975.1	124.97	108-659A-13H-6,140-142	2.36	0.63			-0.52	1.82
121.06	3978.7	125.11	108-659A-13H-7,3-6	2.28	0.68				
121.18	3981.5	125.22	108-659A-13H-7,17-19	2.73	0.44			-0.37	1.97
121.56	4021.6	126.81	108-659B-14H-4,44-48	2.40	0.75				
121.71	4025.4	126.96	108-659B-14H-4,60-62	2.34	0.76			-0.94	1.78
122.20	4003.2	126.08	108-659A-14H-1,40-42	2.50	0.65			-0.71	2.01
122.34	4006.2	126.20	108-659A-14H-1,52-56	2.44	0.40				
122.52	4010.5	126.37	108-659A-14H-1,70-74	2.47	0.48				
122.73	4015.8	126.58	108-659A-14H-1,92-94	2.38	0.67			-0.64	1.89
122.86	4019.1	126.71	108-659A-14H-1,104-107	2.24	0.69				
123.02	4023.1	126.87	108-659A-14H-1,120-124	2.25	0.68				
123.11	4025.4	126.96	108-659A-14H-1,130-132	2.58	1.12			-0.46	2.12
123.20	4027.6	127.05	108-659A-14H-1,138-142	2.07	0.65				
123.21	4060.4	128.35	108-659B-14H-5,60-62	2.43	0.67			-1.18	2.05
123.42	4033.2	127.27	108-659A-14H-2,10-14	2.30	0.64				
123.56	4036.7	127.41	108-659A-14H-2,24-28	2.45	0.63				
123.71	4040.5	127.56	108-659A-14H-2,40-42	2.56	0.66			-0.78	1.83
123.85	4044.0	127.70	108-659A-14H-2,53-57	2.28	0.41				
124.02	4048.3	127.87	108-659A-14H-2,70-74	2.22	0.59				
124.23	4053.6	128.08	108-659A-14H-2,92-94	2.49	0.14			-0.66	1.58
124.35	4056.7	128.20	108-659A-14H-2,103-106	2.31	0.47				
124.50	4060.4	128.35	108-659A-14H-2,117-122	2.49	0.43				
124.71	4065.7	128.56	108-659A-14H-2,140-142	2.94	0.35			-0.38	1.71
124.71	4094.3	129.69	108-659B-14H-6,60-62	2.62	0.44			-0.50	1.74
124.86	4069.5	128.71	108-659A-14H-3,4-8	2.23	0.78				
125.00	4073.1	128.85	108-659A-14H-3,18-22	2.27	0.70				
125.12	4076.1	128.97	108-659A-14H-3,32-34	2.48	0.64			-0.71	2.06
125.28	4080.1	129.13	108-659A-14H-3,46-49	2.31	0.63				
125.46	4084.7	129.31	108-659A-14H-3,64-68	2.38	0.49				
126.05	4099.6	129.90	108-659A-14H-3,123-127	2.28	0.68				
126.21	4103.6	130.06	108-659A-14H-3,140-142	2.00	0.39			-0.64	1.87
126.36	4107.4	130.21	108-659A-14H-4,4-8	2.63	0.28				
126.53	4111.7	130.38	108-659A-14H-4,21-25	2.49	-0.49				
126.64	4114.4	130.49	108-659A-14H-4,32-35	2.39	0.41				
126.81	4118.7	130.66	108-659A-14H-4,49-52	2.38	0.29				
127.02	4124.0	130.87	108-659A-14H-4,70-74	2.43	0.57				
127.23	4129.3	131.08	108-659A-14H-4,92-94	2.32	0.50			-0.55	1.52
127.37	4132.9	131.22	108-659A-14H-4,105-108	2.29	0.53				
127.53	4136.9	131.38	108-659A-14H-4,122-124	2.53	0.04				
127.71	4141.5	131.56	108-659A-14H-4,140-142					-0.62	1.84
127.86	4145.2	131.71	108-659A-14H-5,4-8	2.35	0.07				
128.00	4148.8	131.85	108-659A-14H-5,18-22	2.37	0.30				
128.07	4165.9	132.63	108-659B-15H-2,45-48	2.37	-0.26				
128.15	4152.6	132.00	108-659A-14H-5,33-36	2.25	0.62				
128.21	4168.5	132.63	108-659B-15H-2,60-62	2.47	0.41			-0.94	1.61
128.30	4156.3	132.15	108-659A-14H-5,48-52	2.32	0.30				
128.52	4161.9	132.37	108-659A-14H-5,70-73	2.34	0.21				
128.62	4177.5	132.99	108-659B-15H-2,100-104	2.33	0.29				
128.73	4167.2	132.58	108-659A-14H-5,92-94	2.48	-0.04			-0.75	1.64
128.77	4181.3	133.14	108-659B-15H-2,115-119	2.47	0.74				
128.93	4185.4	133.30	108-659B-15H-2,131-135	2.82	0.41				
129.07	4188.9	133.44	108-659B-15H-2,145-148	2.46	-0.18				
129.21	4179.6	133.07	108-659A-14H-5,140-142	2.42	0.51			-0.92	1.77
129.44	4198.2	133.81	108-659B-15H-3,32-35	2.42	0.03				
129.71	4193.4	133.62	108-659A-14H-6,40-42	2.22	-0.02			-0.64	1.85
129.71	4205.0	134.08	108-659B-15H-3,60-62	2.39	0.75			-0.61	1.84
129.87	4209.1	134.24	108-659B-15H-3,75-78	2.79	0.92				
130.03	4213.1	134.40	108-659B-15H-3,91-95	2.39	0.39				
130.17	4216.7	134.54	108-659B-15H-3,105-109	2.65	0.53				
130.33	4220.7	134.70	108-659B-15H-3,121-124	3.00	0.76				
130.44	4223.5	134.81	108-659B-15H-3,132-136	3.09	0.66				
130.57	4226.8	134.94	108-659B-15H-3,145-149	3.05	1.12				
130.67	4229.3	135.04	108-659B-15H-4,5-9	2.45	0.56				
130.84	4233.6	135.21	108-659B-15H-4,22-25	2.56	0.60				
130.99	4237.4	135.36	108-659B-15H-4,37-41	2.27	0.48				
131.13	4240.9	135.50	108-659B-15H-4,51-55	2.29	0.54				
131.21	4242.9	135.58	108-659B-15H-4,60-62	2.32	0.49			-0.44	1.57
131.37	4246.9	135.74	108-659B-15H-4,75-78	2.50	0.35				
131.53	4251.0	135.90	108-659B-15H-4,91-95	2.53	0.45				
131.67	4254.5	136.04	108-659B-15H-4,105-108	2.74	0.48				
131.83	4258.5	136.20	108-659B-15H-4,121-124	2.49	0.65				
132.04	4263.8	136.41	108-659B-15H-4,141-146	2.14	0.45				
132.23	4246.7	135.73	108-659A-15H-1,92-94	2.49	0.47			-0.44	1.84
132.23	4268.6	136.60	108-659B-15H-5,11-15	2.55	0.76				
132.37	4272.2	136.74	108-659B-15H-5,25-29	2.40	0.71				
132.62	4278.5	136.99	108-659B-15H-5,50-54	2.59	0.60				
132.71	4257.0	136.14	108-659A-15H-1,140-142	2.48	0.67			-0.68	1.88
132.71	4280.8	137.08	108-659B-15H-5,60-62	2.68	0.68			-0.64	1.63
132.90	4262.3	136.35	108-659A-15H-2,8-12	2.40	0.80				
133.12	4269.7	136.64	108-659A-15H-2,30-34	2.37	0.62				
133.31	4277.7	136.96	108-659A-15H-2,49-53	2.60	0.38				
133.51	4286.3	137.30	108-659A-15H-2,69-72	2.61	0.58				
133.73	4291.9	137.52	108-659A-15H-2,92-94	2.50	0.79			-0.65	1.88
133.86	4294.9	137.64	108-659A-15H-2,104-108	2.33	0.58				
134.21	4307.8	138.15	108-659A-15H-2,140-142					-0.90	1.88
134.21	4318.6	138.58	108-659B-15H-6,60-62	2.67	0.73			-0.57	1.92
134.41	4313.6	138.38	108-659A-15H-3,9-13	2.70	0.38				
134.58	4319.6	138.62	108-659A-15H-3,25-28	2.35	0.65				
134.71	4324.4	138.81	108-659A-15H-3,40-42	2.45	0.72			-0.96	2.08
134.86	4329.2	139.00	108-659A-15H-3,54-58	2.29	0.64				
135.01	4334.0	139.19	108-659A-15H-3,69-73	2.30	0.60				
135.21	4340.6	139.45	108-659A-15H-3,92-94	2.78	0.42			-0.41	1.58
135.27	4342.3	139.52	108-659A-15H-3,104-107	2.89	0.09				
135.52	4348.9	139.78	108-659A-15H-3,128-131	2.76	0.14				
135.63	4351.7	139.89	108-659A-15H-3,140-142	2.48	0.67			-0.72	1.72
135.82	4356.7	140.09	108-659A-15H-4,8-12	2.65	0.58				
135.99	4361.3	140.27	108-659A-15H-4,24-29	2.39	0.43				
136.13	4365.0	140.42	108-659A-15H-4,40-42					-0.93	1.87
136.21	4362.0	140.30	108-659B-16H-1,60-62	2.42	0.41			-0.37	1.22
136.27	4368.6	140.56	108-659A-15H-4,53-57	2.51	0.32				
136.48	4374.4	140.79	108-659A-15H-4,73-78	2.47	0.22				
136.65	4378.2	140.94	108-659A-15H-4,92-94	2.45	0.35			-0.43	1.72
136.78	4380.4	141.03	108-659A-15H-4,104-107	2.33	0.49				
137.02	4385.0	141.21	108-659A-15H-4,128-132	2.34	0.59				
137.13	4387.3	141.30	108-659A-15H-4,140-142	2.38	0.45			-1.00	2.09
137.32	4390.8	141.44	108-659A-15H-5,8-12	2.37	0.59				
137.48	4397.1	141.69	108-659A-15H-5,24-27	2.30	0.57				
137.63	4407.2	142.09	108-659A-15H-5,40-42	2.43	0.71			-0.62	2.06
137.71	4399.9	141.80	108-659B-16H-2,60-62	2.48	0.54			-0.74	1.78
137.75	4410.0	142.20	108-659A-15H-5,51-55	2.23	0.48				
137.98	4415.8	142.43	108-659A-15H-5,74-78	2.59	0.19				
138.13	4419.3	142.57	108-659A-15H-5,92-94	2.58	0.56			-0.52	2.10
138.28	4421.6	142.66	108-659A-15H-5,104-107	2.37	0.45				
139.21	4437.7	143.30	108-659B-16H-3,60-62	2.67	0.73			-0.38	1.32
