Site/Hole   ,Latitude   ,Longitude   ,Water Depth (mbsl),No. of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment,"<a href=""mailto:database@iodp.tamu.edu"">Data Librarian</a>."
 857A       ,48&deg;26.495'N,128&deg;42.803'W,            2418.3,14.0,110.3,94.72,85.9,0.0,112.2,,
 857B       ,48&deg;26.490'N,128&deg;43.404'W,            2418.3,3.0,22.4,23.44,104.6,0.0,30.5,,
 857C       ,48&deg;26.485'N,128&deg;42.682'W,            2421.7,68.0,514.7,169.04,32.8,0.0,567.7,,
 857D       ,48&deg;26.517'N,128&deg;42.651'W,            2420.6,37.0,354.7,37.36,10.5,0.0,936.2,,
 858A       ,48&deg;27.413'N,128&deg;42.708'W,            2409.1,39.0,339.1,97.77,       28.8,0.0,339.1,,
 858B       ,48&deg;27.336'N,128&deg;42.545'W,            2409.3,9.0,38.6,31.67,       82.0,0.0,38.6,,
 858C       ,48&deg;27.336'N,128&deg;42.660'W,            2416.9,14.0,91.6,55.5,       60.6,0.0,93.1,,
 858D       ,48&deg;27.374'N,128&deg;42.530'W,            2415.1,7.0,40.7,30.43,       74.8,0.0,40.7,,
 858E       ,48&deg;27.368'N,128&deg;42.531'W,            2415.1,0.0,0.0,0.0,           ,0.0,38.5,,
 858F       ,48&deg;27.369'N,128&deg;42.527'W,            2415.1,28.0,269.1,8.17,        3.0,0.0,296.9,,
 858G       ,48&deg;27.360'N,128&deg;42.531'W,            2415.1,16.0,155.8,6.86,        4.4,0.0,432.6,,
 504B       , 1&deg;13.611'N, 83&deg;43.818'W,            3462.7,55.0,378.9,47.69,12.6,0.0,2000.4,,
 859A       ,45&deg;53.760'S, 75&deg;51.168'W,            2741.2,21.0,145.0,53.56,36.9,0.0,146.5,,
 859B       ,45&deg;53.700'S, 75&deg;51.342'W,            2748.9,38.0,365.0,169.67,46.5,0.0,476.1,,
 860A       ,45&deg;53.160'S, 75&deg;45.102'W,            2147.8,1.0,9.5,9.78,102.9,0.0,9.5,,
 860B       ,45&deg;53.160'S, 75&deg;45.102'W,            2145.9,70.0,617.8,225.83,36.6,0.0,617.8,,
 861A       ,45&deg;51.000'S, 75&deg;41.532'W,            1666.2,1.0,9.5,10.0,105.3,0.0,9.5,,
 861B       ,45&deg;51.000'S, 75&deg;41.532'W,            1671.2,1.0,9.5,9.92,104.4,0.0,9.5,,
 861C       ,45&deg;51.000'S, 75&deg;41.532'W,            1662.2,41.0,353.1,202.17,57.3,0.0,353.1,,
 861D       ,45&deg;51.000'S, 75&deg;41.502'W,            1640.9,16.0,154.0,40.65,26.4,0.0,496.3,,
 862A       ,46&deg;30.480'S, 75&deg;49.602'W,            1274.9,5.0,22.1,21.45,97.1,0.0,22.1,,
 862B       ,46&deg;30.480'S, 75&deg;49.602'W,            1268.6,3.0,25.4,6.1,24.0,0.0,42.9,,
 862C       ,46&deg;30.540'S, 75&deg;49.566'W,            1228.6,8.0,62.1,1.47,2.4,0.0,102.1,,
 863A       ,46&deg;14.220'S, 75&deg;46.374'W,            2564.2,31.0,297.3,75.39,25.4,0.0,297.3,,
 863B       ,46&deg;14.220'S, 75&deg;46.374'W,            2564.2,49.0,445.6,192.91,43.3,0.0,742.9,,
 864A       , 9&deg;30.852'N,104&deg;14.640'W,            2571.2,5.0,8.6,9.5,110.5,0.0,15.0,,
 864B       , 9&deg;30.852'N,104&deg;14.640'W,            2572.4,1.0,0.1,0.0,0.0,0.0,3.0,,
 864C       , 9&deg;30.851'N,104&deg;14.655'W,            2572.4,1.0,6.8,0.0,0.0,0.0,6.8,,
 865A       ,18&deg;26.412'N,179&deg;33.336'W,            1518.4,94.0,870.9,131.57,15.1,0.0,870.9,,
 865B       ,18&deg;26.418'N,179&deg;33.348'W,            1516.2,19.0,165.5,123.66,74.7,0.0,165.5,,
 865C       ,18&deg;26.424'N,179&deg;33.336'W,            1517.4,15.0,136.3,114.11,83.7,0.0,136.3,,
 866A       ,21&deg;19.956'N,174&deg;18.846'E,            1361.8,188.0,1743.6,268.42,15.4,0.0,1743.6,,
 866B       ,21&deg;19.950'N,174&deg;18.870'E,            1346.1,13.0,117.4,23.16,19.7,0.0,117.4,,
 867A       ,21&deg;20.964'N,174&deg;18.552'E,            1352.2,1.0,10.0,0.07,0.7,0.0,10.0,,
 867B       ,21&deg;20.958'N,174&deg;18.570'E,            1352.2,14.0,76.8,22.46,29.2,0.0,76.8,,
 868A       ,21&deg;21.174'N,174&deg;18.564'E,            1385.0,5.0,20.3,9.4,46.3,0.0,20.3,,
 869A       ,11&deg; 0.012'N,164&deg;44.970'E,            4826.7,18.0,166.5,129.27,77.6,0.0,166.5,,
 869B       ,11&deg; 0.012'N,164&deg;45.018'E,            4826.7,68.0,656.2,242.5,37.0,0.0,796.2,,
 870A       ,11&deg;20.832'N,162&deg;15.780'E,              38.6,1.0,0.2,0.19,95.0,0.0,0.2,,
 870B       ,11&deg;20.832'N,162&deg;15.780'E,              37.5,3.0,31.3,0.41,1.3,0.0,31.3,,
 871A       , 5&deg;33.432'N,172&deg;20.658'E,            1254.6,17.0,151.9,126.05,83.0,0.0,151.9,,
 871B       , 5&deg;33.438'N,172&deg;20.658'E,            1254.0,17.0,152.4,103.94,68.2,0.0,152.4,,
 871C       , 5&deg;33.438'N,172&deg;20.658'E,            1254.6,41.0,376.0,55.01,14.6,0.0,500.0,,
 872A       ,10&deg; 5.850'N,162&deg;51.960'E,            1083.6,18.0,144.0,123.63,85.9,0.0,144.0,,
 872B       ,10&deg; 5.808'N,162&deg;51.996'E,            1083.6,9.0,86.3,25.96,30.1,0.0,192.5,,
 872C       ,10&deg; 5.862'N,162&deg;52.002'E,            1082.1,18.0,148.0,145.72,98.5,0.0,148.0,,
 873A       ,11&deg;53.796'N,164&deg;55.188'E,            1335.0,21.0,178.0,35.73,20.1,0.0,232.3,,
 873B       ,11&deg;53.838'N,164&deg;55.230'E,            1334.0,10.0,69.0,53.83,78.0,0.0,69.0,,
 874A       ,12&deg; 0.216'N,164&deg;56.388'E,            1374.9,1.0,7.0,1.5,21.4,0.0,7.0,,
 874B       ,12&deg; 0.228'N,164&deg;56.388'E,            1374.9,24.0,193.5,32.31,16.7,0.0,193.5,,
 875A       ,12&deg; 0.756'N,164&deg;56.466'E,            1410.8,1.0,11.2,0.25,2.2,0.0,11.2,,
 875B       ,12&deg; 0.756'N,164&deg;56.466'E,            1409.8,4.0,40.0,1.95,4.9,0.0,40.0,,
 875C       ,12&deg; 0.756'N,164&deg;56.466'E,            1408.8,16.0,133.0,17.62,13.2,0.0,133.0,,
 876A       ,12&deg;14.796'N,164&deg;55.908'E,            1398.8,18.0,154.0,14.82,9.6,0.0,154.0,,
 877A       ,12&deg; 1.146'N,164&deg;55.326'E,            1354.8,20.0,190.4,25.23,13.3,0.0,190.5,,
 878A       ,27&deg;19.140'N,151&deg;53.028'E,            1323.2,97.0,909.9,265.22,29.1,0.0,910.0,,
 878B       ,27&deg;19.140'N,151&deg;53.028'E,            1323.2,1.0,5.8,0.62,10.7,0.0,5.8,,
 878C       ,27&deg;19.140'N,151&deg;53.028'E,            1323.2,1.0,6.0,0.51,8.5,0.0,6.0,,
 879A       ,34&deg;10.428'N,144&deg;18.528'E,            1500.8,24.0,226.5,39.55,17.5,0.0,226.5,,
 880A       ,34&deg;12.522'N,144&deg;18.720'E,            1524.8,2.0,18.4,18.7,101.6,0.0,18.4,,
 881A       ,47&deg; 6.136'N,161&deg;29.492'E,            5531.1,1.0,9.5,9.92,104.4,0.0,13.5,,
 881B       ,47&deg; 6.136'N,161&deg;29.492'E,            5530.8,18.0,167.0,170.33,102.0,0.0,167.0,,
 881C       ,47&deg; 6.133'N,161&deg;29.490'E,            5530.8,39.0,363.8,227.2,62.5,0.0,363.8,,
 881D       ,47&deg; 6.136'N,161&deg;29.522'E,            5531.1,6.0,57.0,57.91,101.6,0.0,212.0,,
 882A       ,50&deg;21.797'N,167&deg;35.999'E,            3243.8,42.0,398.3,411.2,103.2,0.0,398.3,,
 882B       ,50&deg;21.798'N,167&deg;35.976'E,            3244.2,29.0,270.4,280.9,103.9,0.0,270.4,,
 883A       ,51&deg;11.898'N,167&deg;46.128'E,            2407.0,4.0,38.0,38.49,101.3,0.0,38.0,,
 883B       ,51&deg;11.908'N,167&deg;46.128'E,            2395.6,88.0,840.7,695.41,82.7,0.0,840.7,,
 883C       ,51&deg;11.919'N,167&deg;46.122'E,            2385.5,38.0,355.0,344.3,97.0,0.0,355.0,,
 883D       ,51&deg;11.919'N,167&deg;46.108'E,            2385.5,2.0,17.0,17.31,101.8,0.0,17.0,,
 883E       ,51&deg;11.917'N,167&deg;46.098'E,            2385.5,23.0,226.0,116.56,51.6,0.0,856.5,,
 883F       ,51&deg;11.906'N,167&deg;46.085'E,            2385.5,3.0,29.4,13.58,46.2,0.0,849.4,,
 884A       ,51&deg;27.024'N,168&deg;20.226'E,            3826.6,1.0,9.7,9.72,100.2,0.0,9.7,,
 884B       ,51&deg;27.024'N,168&deg;20.226'E,            3824.8,91.0,853.9,791.76,92.7,0.0,853.9,,
 884C       ,51&deg;27.036'N,168&deg;20.220'E,            3824.9,38.0,357.8,294.56,82.3,0.0,357.8,,
 884D       ,51&deg;27.036'N,168&deg;20.196'E,            3826.0,2.0,14.8,13.92,94.1,0.0,14.8,,
 884E       ,51&deg;27.036'N,168&deg;20.214'E,            3824.8,10.0,87.0,66.78,76.8,0.0,929.8,,
 885A       ,44&deg;41.298'N,168&deg;16.320'E,            5708.5,8.0,58.8,53.72,91.4,0.0,58.8,,
 886A       ,44&deg;41.382'N,168&deg;14.400'W,            5713.4,1.0,9.7,9.7,100.0,0.0,9.7,,
 886B       ,44&deg;41.382'N,168&deg;14.400'W,            5714.3,9.0,68.9,60.5,87.8,0.0,68.9,,
 886C       ,44&deg;41.382'N,168&deg;14.400'W,            5713.3,8.0,72.4,67.09,92.7,0.0,72.4,,
 887A       ,54&deg;21.924'N,148&deg;26.760'W,            3631.2,31.0,286.0,239.84,83.9,0.0,286.0,,
 887B       ,54&deg;21.924'N,148&deg;26.760'W,            3635.9,5.0,40.0,41.38,103.4,0.0,40.0,,
 887C       ,54&deg;21.936'N,148&deg;26.760'W,            3633.6,30.0,273.8,269.44,98.4,0.0,273.8,,
 887D       ,54&deg;21.936'N,148&deg;26.760'W,            3633.6,13.0,115.7,19.92,17.2,0.0,373.1,,
 888A       ,48&deg;10.008'N,126&deg;39.792'W,            2516.3,1.0,9.5,9.75,      102.6,0.0,9.5,,
 888B       ,48&deg;10.008'N,126&deg;39.792'W,            2516.3,65.0,566.9,364.85,       64.4,0.0,566.9,,
 888C       ,48&deg; 9.985'N,126&deg;39.802'W,            2516.2,0.0,0.0,0.0,           ,600.0,600.0,,
 889A       ,48&deg;41.958'N,126&deg;52.098'W,            1311.2,44.0,325.8,223.14,       68.5,0.0,345.8,,
 889B       ,48&deg;41.850'N,126&deg;52.392'W,            1316.2,21.0,189.5,48.15,       25.4,0.0,386.5,,
 889C       ,48&deg;41.910'N,126&deg;52.230'W,            1315.1,0.0,0.0,0.0,           ,384.5,384.5,,
 889D       ,48&deg;41.982'N,126&deg;52.128'W,            1311.1,3.0,23.5,13.29,       56.6,0.0,154.0,,
 890A       ,48&deg;39.750'N,126&deg;52.890'W,            1326.3,1.0,5.3,3.71,70.0,0.0,5.3,,
 890B       ,48&deg;39.750'N,126&deg;52.890'W,            1326.3,5.0,45.3,37.76,83.4,0.0,47.8,,
 891A       ,44&deg;38.646'N,125&deg;19.548'W,            2663.3,3.0,9.5,9.49,       99.9,0.0,9.5,,
 891B       ,44&deg;38.658'N,125&deg;19.560'W,            2663.0,58.0,469.3,54.03,       11.5,0.0,472.3,,
 891C       ,44&deg;38.634'N,125&deg;19.530'W,            2664.0,0.0,0.0,0.0,           ,492.0,492.0,,
 892A       ,44&deg;40.452'N,125&deg; 7.140'W,             674.5,21.0,176.5,63.63,       36.1,0.0,176.5,,
 892B       ,44&deg;40.536'N,125&deg; 7.086'W,             674.4,0.0,0.0,0.0,           ,178.5,178.5,,
 892C       ,44&deg;40.440'N,125&deg; 7.140'W,             674.4,0.0,0.0,0.0,           ,0.0,176.5,,
 892D       ,44&deg;40.440'N,125&deg; 7.140'W,             670.3,16.0,143.5,76.17,       53.1,0.0,166.5,,
 892E       ,44&deg;40.440'N,125&deg; 7.140'W,             674.3,5.0,33.0,15.36,       46.5,0.0,55.0,,
 893A       ,34&deg;17.250'N,120&deg; 2.160'W,             576.5,21.0,196.5,204.91,104.3,0.0,196.5,,
 893B       ,34&deg;17.250'N,120&deg; 2.160'W,             576.7,8.0,68.8,72.67,105.6,0.0,68.8,,
 894A       , 2&deg;18.030'N,101&deg;31.488'W,            3012.1,1.0,6.0,6.24,104.0,0.0,6.0,,
 894B       , 2&deg;17.958'N,101&deg;31.566'W,            3020.1,1.0,7.0,0.14,2.0,0.0,7.0,,
 894C       , 2&deg;17.952'N,101&deg;31.542'W,            3033.1,1.0,31.0,0.17,0.5,0.0,31.0,,
 894D       , 2&deg;18.090'N,101&deg;31.590'W,            3013.1,2.0,19.5,1.52,7.8,0.0,19.5,,
 894E       , 2&deg;18.059'N,101&deg;31.524'W,            3013.7,3.0,28.7,3.03,10.6,0.0,28.7,,
 894F       , 2&deg;17.976'N,101&deg;31.554'W,            3024.6,3.0,25.7,1.8,7.0,0.0,25.7,,
 894G       , 2&deg;17.976'N,101&deg;31.554'W,            3023.4,19.0,127.5,45.15,35.4,0.0,154.5,,
 895A       , 2&deg;16.638'N,101&deg;26.766'W,            3820.7,2.0,17.2,2.38,13.8,0.0,17.2,,
 895B       , 2&deg;16.638'N,101&deg;26.760'W,            3820.7,1.0,10.3,1.02,9.9,0.0,10.3,,
 895C       , 2&deg;16.632'N,101&deg;26.772'W,            3819.7,4.0,37.9,5.73,15.1,0.0,37.9,,
 895D       , 2&deg;16.638'N,101&deg;26.778'W,            3820.7,9.0,93.7,19.08,20.4,0.0,93.7,,
 895E       , 2&deg;16.788'N,101&deg;26.790'W,            3752.5,8.0,87.6,32.47,37.1,0.0,87.6,,
 895F       , 2&deg;16.902'N,101&deg;26.790'W,            3692.5,2.0,26.2,1.98,7.6,0.0,26.2,,
 504B       , 1&deg;13.611'N, 83&deg;43.818'W,            3462.8,23.0,110.6,9.58,8.7,0.0,2111.0,,
 896A       , 1&deg;13.006'N, 83&deg;43.392'W,            3447.8,30.0,273.9,73.68,26.9,0.0,469.0,,
 897A       ,40&deg;50.322'N, 12&deg;28.440'W,            5320.0,6.0,55.2,17.37,31.5,0.0,55.2,,
 897B       ,40&deg;50.322'N, 12&deg;28.440'W,            5319.9,1.0,10.0,0.0,0.0,52.0,62.0,,
 897C       ,40&deg;50.328'N, 12&deg;28.440'W,            5315.2,73.0,695.0,352.81,50.8,49.9,744.9,,
 897D       ,40&deg;50.310'N, 12&deg;28.512'W,            5315.8,25.0,241.2,117.94,48.9,596.0,837.2,,
 898A       ,40&deg;41.046'N, 12&deg; 7.380'W,            5279.0,36.0,341.5,289.22,84.7,0.0,341.5,,
 898B       ,40&deg;41.106'N, 12&deg; 7.380'W,            5277.7,1.0,5.4,5.42,100.4,0.0,5.4,,
 899A       ,40&deg;46.332'N, 12&deg;16.062'W,            5291.0,16.0,154.0,51.45,33.4,0.0,235.5,,
 899B       ,40&deg;46.344'N, 12&deg;16.062'W,            5291.0,36.0,332.0,173.41,52.2,0.0,562.5,,
 900A       ,40&deg;40.992'N, 11&deg;36.252'W,            5036.8,86.0,804.5,519.61,64.6,0.0,805.0,,
 901A       ,40&deg;40.476'N, 11&deg; 3.582'W,            4718.5,5.0,46.8,4.89,10.4,0.0,247.8,,
 902A       ,38&deg;56.080'N, 72&deg;46.349'W,             817.0,4.0,31.0,31.44,101.4,0.0,31.0,,
 902B       ,38&deg;56.078'N, 72&deg;46.364'W,             811.0,1.0,9.5,9.94,104.6,0.0,10.5,,
 902C       ,38&deg;56.078'N, 72&deg;46.364'W,             811.0,16.0,130.0,135.94,104.6,0.0,130.0,,
 902D       ,38&deg;56.079'N, 72&deg;46.375'W,             808.0,82.0,736.6,676.96,91.9,0.0,740.1,,
 903A       ,38&deg;56.298'N, 72&deg;49.032'W,             444.4,76.0,702.8,636.77,90.6,0.0,702.8,,
 903B       ,38&deg;56.304'N, 72&deg;49.026'W,             446.4,17.0,154.0,149.71,97.2,0.0,154.0,,
 903C       ,38&deg;56.303'N, 72&deg;49.024'W,             446.4,60.0,535.2,323.16,60.4,614.5,1149.7,,
 903D       ,38&deg;56.299'N, 72&deg;49.042'W,             441.3,25.0,233.1,163.5,70.1,803.9,1037.0,,
 904A       ,38&deg;51.806'N, 72&deg;46.084'W,            1122.8,62.0,576.7,557.55,96.7,0.0,576.7,,
 905A       ,38&deg;36.828'N, 72&deg;17.024'W,            2697.9,104.0,890.6,834.8,93.7,0.0,910.6,,
 906A       ,38&deg;57.896'N, 72&deg;45.997'W,             912.9,68.0,602.4,511.69,84.9,0.0,602.4,,
 907A       ,69&deg;14.989'N, 12&deg;41.894'W,            1800.8,26.0,224.1,229.98,102.6,0.0,224.1,,
 908A       ,78&deg;23.112'N,  1&deg;21.636'E,            1273.5,37.0,344.6,313.96,91.1,0.0,344.6,,
 908B       ,78&deg;23.124'N,  1&deg;21.642'E,            1273.0,10.0,83.4,78.01,93.5,0.0,83.4,,
 909A       ,78&deg;35.064'N,  3&deg; 4.374'E,            2519.0,11.0,92.5,94.78,102.5,0.0,92.5,,
 909B       ,78&deg;35.070'N,  3&deg; 4.380'E,            2519.1,16.0,135.1,140.42,103.9,0.0,135.1,,
 909C       ,78&deg;35.094'N,  3&deg; 4.224'E,            2517.7,103.0,976.8,604.77,61.9,0.0,1061.8,,
 910A       ,80&deg;15.882'N,  6&deg;35.400'E,             556.4,5.0,34.0,24.26,71.4,0.0,34.0,,
 910B       ,80&deg;15.876'N,  6&deg;35.448'E,             557.0,2.0,15.6,15.37,98.5,0.0,15.6,,
 910C       ,80&deg;15.894'N,  6&deg;35.430'E,             556.4,53.0,507.4,293.49,57.8,0.0,507.4,,
 910D       ,80&deg;15.876'N,  6&deg;35.424'E,             556.5,18.0,160.6,103.46,64.4,0.0,160.6,,
 911A       ,80&deg;28.464'N,  8&deg;13.638'E,             901.6,53.0,505.8,464.51,91.8,0.0,505.8,,
 911B       ,80&deg;28.476'N,  8&deg;13.638'E,             901.0,15.0,112.1,112.9,100.7,0.0,112.1,,
 911C       ,80&deg;28.482'N,  8&deg;13.638'E,             902.0,15.0,127.9,126.07,98.6,0.0,127.9,,
 912A       ,79&deg;57.552'N,  5&deg;27.360'E,            1036.8,16.0,145.4,118.37,81.4,0.0,145.4,,
 912B       ,79&deg;57.534'N,  5&deg;27.396'E,            1037.5,5.0,40.5,41.77,103.1,0.0,40.5,,
 912C       ,79&deg;57.522'N,  5&deg;27.360'E,            1036.6,12.0,115.6,5.91,5.1,0.0,209.1,,
 913A       ,75&deg;29.340'N,  6&deg;56.826'W,            3318.6,13.0,103.6,26.19,25.3,0.0,103.6,,
 913B       ,75&deg;29.352'N,  6&deg;56.808'W,            3318.4,51.0,491.3,210.29,42.8,0.0,770.3,,
 914A       ,63&deg;27.738'N, 39&deg;43.488'W,             533.2,4.0,18.6,11.88,       63.9,0.0,18.6,,
 914B       ,63&deg;27.738'N, 39&deg;43.482'W,             533.2,17.0,151.2,17.78,       11.8,0.0,245.0,,
 914C       ,63&deg;27.735'N, 39&deg;43.474'W,             533.2,0.0,0.0,0.0,           ,224.0,224.0,,
 915A       ,63&deg;28.284'N, 39&deg;46.908'W,             533.1,26.0,209.4,32.84,15.7,0.0,209.4,,
 916A       ,63&deg;29.136'N, 39&deg;48.402'W,             513.7,15.0,101.7,16.86,16.6,0.0,101.7,,
 917A       ,63&deg;29.502'N, 39&deg;49.668'W,             508.1,110.0,874.9,454.88,52.0,0.0,874.9,,
 918A       ,63&deg; 5.568'N, 38&deg;38.334'W,            1868.5,38.0,332.7,260.27,78.2,0.0,332.7,,
 918B       ,63&deg; 5.568'N, 38&deg;38.340'W,            1868.2,3.0,25.8,25.48,98.8,0.0,25.8,,
 918C       ,63&deg; 5.574'N, 38&deg;38.328'W,            1868.2,2.0,9.6,9.64,100.4,0.0,35.4,,
 918D       ,63&deg; 5.574'N, 38&deg;38.334'W,            1868.2,113.0,1012.8,254.58,25.1,0.0,1310.1,,
 919A       ,62&deg;40.200'N, 37&deg;27.612'W,            2088.2,10.0,93.5,93.59,      100.1,0.0,93.5,,
 919B       ,62&deg;40.200'N, 37&deg;27.618'W,            2086.0,8.0,75.7,77.28,      102.1,0.0,147.0,,
 919C       ,62&deg;40.192'N, 37&deg;27.622'W,            2097.3,0.0,0.0,0.0,           ,0.0,60.1,,
 920A       ,23&deg;20.310'N, 45&deg; 1.038'W,            3339.0,1.0,14.0,0.84,        6.0,0.0,14.0,,
 920B       ,23&deg;20.310'N, 45&deg; 1.038'W,            3339.0,12.0,112.4,44.57,       39.7,0.0,126.4,,
 920C       ,23&deg;20.302'N, 45&deg; 1.026'W,            3343.0,0.0,0.0,0.0,           ,16.0,16.0,,
 920D       ,23&deg;20.322'N, 45&deg; 1.044'W,            3338.0,22.0,200.8,95.08,       47.4,0.0,200.8,,
 921A       ,23&deg;32.460'N, 45&deg; 1.866'W,            2488.0,2.0,17.1,3.1,18.1,0.0,17.1,,
 921B       ,23&deg;32.478'N, 45&deg; 1.842'W,            2490.0,3.0,29.5,8.56,29.0,0.0,44.1,,
 921C       ,23&deg;32.472'N, 45&deg; 1.830'W,            2495.0,7.0,53.4,6.09,11.4,0.0,53.4,,
 921D       ,23&deg;32.442'N, 45&deg; 1.830'W,            2514.0,5.0,48.6,6.16,12.7,0.0,48.6,,
 921E       ,23&deg;32.328'N, 45&deg; 1.878'W,            2456.0,9.0,82.6,17.65,21.4,0.0,82.6,,
 922A       ,23&deg;33.162'N, 45&deg; 1.926'W,            2612.0,3.0,14.6,9.23,63.2,0.0,14.6,,
 922B       ,23&deg;31.368'N, 45&deg; 1.926'W,            2612.0,4.0,23.4,9.53,40.7,0.0,37.4,,
 923A       ,23&deg;32.556'N, 45&deg; 1.896'W,            2440.0,15.0,53.6,40.03,74.7,0.0,70.0,,
 924A       ,23&deg;32.460'N, 45&deg; 0.858'W,            3170.0,1.0,10.0,0.0,0.0,0.0,10.0,,
 924B       ,23&deg;32.466'N, 45&deg; 0.864'W,            3176.0,3.0,19.5,2.69,13.8,0.0,30.8,,
 924C       ,23&deg;32.496'N, 45&deg; 0.864'W,            3177.0,7.0,48.5,11.19,23.1,0.0,48.5,,
 925A       , 4&deg;12.249'N, 43&deg;29.334'W,            3042.2,69.0,645.5,490.05,75.9,0.0,930.4,,
 925B       , 4&deg;12.248'N, 43&deg;29.346'W,            3041.1,34.0,318.0,329.05,103.5,0.0,318.0,,
 925C       , 4&deg;12.256'N, 43&deg;29.346'W,            3040.6,38.0,360.1,368.78,102.4,0.0,360.1,,
 925D       , 4&deg;12.260'N, 43&deg;29.358'W,            3040.5,37.0,351.5,364.03,103.6,0.0,354.0,,
 925E       , 4&deg;12.257'N, 43&deg;29.334'W,            3040.5,6.0,54.5,55.65,102.1,0.0,54.5,,
 926A       , 3&deg;43.146'N, 42&deg;54.486'W,            3598.4,35.0,327.0,334.92,102.4,0.0,327.0,,
 926B       , 3&deg;43.148'N, 42&deg;54.504'W,            3598.3,64.0,605.8,593.25,97.9,0.0,605.8,,
 926C       , 3&deg;43.130'N, 42&deg;54.504'W,            3598.3,42.0,397.8,394.21,99.1,0.0,398.3,,
 927A       , 5&deg;27.760'N, 44&deg;28.830'W,            3313.7,33.0,312.5,315.79,101.1,0.0,312.5,,
 927B       , 5&deg;27.774'N, 44&deg;28.836'W,            3315.2,28.0,261.5,267.53,102.3,0.0,261.5,,
 927C       , 5&deg;27.781'N, 44&deg;28.836'W,            3316.7,28.0,266.7,262.85,98.6,0.0,266.7,,
 928A       , 5&deg;27.320'N, 43&deg;44.880'W,            4010.7,26.0,246.7,244.74,99.2,0.0,246.7,,
 928B       , 5&deg;27.313'N, 43&deg;44.886'W,            4012.2,56.0,531.9,472.39,88.8,0.0,531.9,,
 928C       , 5&deg;27.315'N, 43&deg;44.904'W,            4012.1,20.0,181.0,186.16,102.9,0.0,181.5,,
 929A       , 5&deg;58.573'N, 43&deg;44.394'W,            4357.6,56.0,527.5,470.96,89.3,0.0,527.5,,
 929B       , 5&deg;58.578'N, 43&deg;44.382'W,            4355.6,24.0,229.0,212.59,92.8,0.0,229.0,,
 929C       , 5&deg;58.563'N, 43&deg;44.382'W,            4355.6,16.0,152.2,144.22,94.8,0.0,155.2,,
 929D       , 5&deg;58.566'N, 43&deg;44.346'W,            4356.1,6.0,54.5,54.39,99.8,0.0,54.5,,
 929E       , 5&deg;58.568'N, 43&deg;44.400'W,            4356.1,35.0,337.4,246.65,73.1,0.0,808.9,,
 930A       , 5&deg; 0.894'N, 47&deg;35.743'W,            3144.3,1.0,9.5,10.05,105.8,0.0,9.5,,
 930B       , 5&deg; 0.894'N, 47&deg;35.743'W,            3144.6,24.0,225.3,203.24,90.2,0.0,225.3,,
 930C       , 5&deg; 0.905'N, 47&deg;35.746'W,            3144.6,18.0,172.6,135.47,78.5,0.0,259.0,,
 930D       , 5&deg; 1.005'N, 47&deg;35.747'W,            3145.3,6.0,51.5,53.27,103.4,0.0,51.5,,
 931A       , 5&deg; 8.508'N, 46&deg;37.980'W,            3472.7,6.0,53.6,56.99,106.3,0.0,53.6,,
 931B       , 5&deg; 8.520'N, 46&deg;37.980'W,            3475.9,45.0,421.3,296.05,70.3,0.0,421.3,,
 931C       , 5&deg; 8.526'N, 46&deg;37.986'W,            3474.5,4.0,32.6,34.43,105.6,0.0,32.6,,
 932A       , 5&deg;12.682'N, 47&deg; 1.770'W,            3333.6,18.0,168.3,154.71,91.9,0.0,168.3,,
 932B       , 5&deg;12.690'N, 47&deg; 1.770'W,            3336.1,6.0,52.5,54.09,103.0,0.0,52.5,,
 933A       , 5&deg; 5.801'N, 46&deg;48.738'W,            3365.9,27.0,254.2,177.38,69.8,0.0,254.2,,
 934A       , 5&deg;29.047'N, 47&deg;40.857'W,            3421.7,12.0,108.8,111.65,102.6,0.0,108.8,,
 934B       , 5&deg;29.020'N, 47&deg;40.860'W,            3421.0,12.0,108.8,105.92,97.4,0.0,108.8,,
 935A       , 5&deg;25.608'N, 47&deg;33.888'W,            3485.5,40.0,372.0,268.6,72.2,0.0,372.6,,
 936A       , 5&deg;37.932'N, 47&deg;44.136'W,            3575.0,46.0,433.8,274.42,63.3,0.0,433.8,,
 937A       , 4&deg;35.748'N, 47&deg;12.444'W,            2760.2,1.0,0.2,0.21,105.0,0.0,0.2,,
 937B       , 4&deg;35.748'N, 47&deg;12.444'W,            2759.9,19.0,180.3,159.71,88.6,0.0,180.3,,
 937C       , 4&deg;35.760'N, 47&deg;12.444'W,            2756.3,9.0,76.5,80.52,105.3,0.0,76.5,,
 937D       , 4&deg;35.772'N, 47&deg;12.444'W,            2757.1,2.0,16.7,17.26,103.4,0.0,16.7,,
 938A       , 4&deg;39.504'N, 47&deg;18.738'W,            2804.1,34.0,310.2,242.42,78.1,0.0,310.2,,
 938B       , 4&deg;39.504'N, 47&deg;18.744'W,            2804.1,9.0,81.3,79.53,97.8,0.0,81.3,,
 939A       , 4&deg;43.308'N, 47&deg;30.198'W,            2783.6,11.0,102.7,97.57,95.0,0.0,102.7,,
 939B       , 4&deg;43.302'N, 47&deg;29.940'W,            2792.3,11.0,99.4,99.51,100.1,0.0,99.4,,
 939C       , 4&deg;43.302'N, 47&deg;29.940'W,            2791.1,4.0,36.1,36.98,102.4,0.0,36.1,,
